tên sản phẩm,mã số sản phẩm,kích thước tổng,màu phiên bản,số thứ tự,mã vật liệu,mã linh kiện,tên vật liệu,quy cách,chất liệu,màu sắc,thuộc tính,số lượng
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS231K101S,350Dx1790Wx598Hmm,màu gỗ cổ,1,LG05254BH,X01,254 thanh đũa,Ø5x254mm,Q195,đen nhám,linh kiện,2
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS231K101S,350Dx1790Wx598Hmm,màu gỗ cổ,2,LGS231SHLBH,F,LGS231_131-Thanh trên trước,556x15x15mm,Q195,đen nhám,linh kiện,1
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS231K101S,350Dx1790Wx598Hmm,màu gỗ cổ,3,PC221BH,S,ổ cắm điện,tiêu chuẩn Anh-2AC+1USB+1 Type C ổ cắm,ABS,màu đen,linh kiện,1
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS231K101S,350Dx1790Wx598Hmm,màu gỗ cổ,4,LGS231DB102KD,A1,LGS231-tấm trên phải,895x350x12mm,PB,màu gỗ cổ,linh kiện,1
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS231K101S,350Dx1790Wx598Hmm,màu gỗ cổ,5,DD1700,R,1700-đèn LED,DC12V，SMD5050，1700mm,FPCB,đen bóng,linh kiện,1
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS231K101S,350Dx1790Wx598Hmm,màu gỗ cổ,6,DD1700,R1,kẹp cố định đèn,theo thực tế,PP,màu tự nhiên,linh kiện,5
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS231K101S,350Dx1790Wx598Hmm,màu gỗ cổ,7,SLHGZY002BH,BR,325mm Thanh ngăn kéo phải,325x25x20mm,PP&GF40,màu đen,linh kiện,1
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS231K101S,350Dx1790Wx598Hmm,màu gỗ cổ,8,LGS231YZKBHGK,C2,LGS421_420-S_231_131-Khung giữa phải,576x335x15mm,Q195,đen nhám,linh kiện,1
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS231K101S,350Dx1790Wx598Hmm,màu gỗ cổ,9,BCDB55031723BH,Z09,LGS đáy túi vải 32.5X55,322x545x3mm,MDF&vải không dệt,màu đen,linh kiện,1
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS231K101S,350Dx1790Wx598Hmm,màu gỗ cổ,10,BC5503327188KD,Y08,LGS túi vải 55x32.5x18.7,327x550x188mm,MDF&vải không dệt,màu gỗ cổ,linh kiện,1
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS231K101S,350Dx1790Wx598Hmm,màu gỗ cổ,11,LGS231CBZKD,A4,LGS231_131-Tấm tầng giữa,556x335x12mm,PB,màu gỗ cổ,linh kiện,1
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS231K101S,350Dx1790Wx598Hmm,màu gỗ cổ,12,SLHGZZ002BH,BL,325mm Thanh ngăn kéo trái,325x25x20mm,PP&GF40,màu đen,linh kiện,1
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS231K101S,350Dx1790Wx598Hmm,màu gỗ cổ,13,LGS231ZZKBHGK,C1,LGS421_420-S_231_131-Khung giữa trái,576x335x15mm,Q195,đen nhám,linh kiện,1
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS231K101S,350Dx1790Wx598Hmm,màu gỗ cổ,14,LGS231CBZYKD,A3,LGS231-tấm tầng bên,582x335x12mm,PB,màu gỗ cổ,linh kiện,2
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS231K101S,350Dx1790Wx598Hmm,màu gỗ cổ,15,LGS231ZYKBH,D,LGS421_420-S_231_131-Khung bên trái phải,576x335x15mm,Q195,đen nhám,linh kiện,2
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS231K101S,350Dx1790Wx598Hmm,màu gỗ cổ,16,LGS231XHLBH,E,LGS231_131-thanh dưới,556x15x15mm,Q195,đen nhám,linh kiện,2
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS231K101S,350Dx1790Wx598Hmm,màu gỗ cổ,17,LGS231SHLBHGK,G,LGS231_131-Thanh trên sau,556x15x15mm,Q195,đen nhám,linh kiện,1
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS231K101S,350Dx1790Wx598Hmm,màu gỗ cổ,18,LGS231DB101KD,A2,LGS231-tấm trên trái,895x350x12mm,PB,màu gỗ cổ,linh kiện,1
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS231K101S,350Dx1790Wx598Hmm,màu gỗ cổ,19,LGS231ZFXKD,无,thùng đóng giữa,980×377×147mm,giấy carton,màu giấy,vật liệu đóng gói,1
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS231K101S,350Dx1790Wx598Hmm,màu gỗ cổ,20,ZHJ5050135,无,giấy nẹp,50×50×135mm,giấy carton,màu giấy,vật liệu đóng gói,4
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS231K101S,350Dx1790Wx598Hmm,màu gỗ cổ,21,LGS231ZK,无,giấy lót,sóng đơn 950×60,giấy carton sóng đơn,màu giấy,vật liệu đóng gói,1
