tên sản phẩm,mã số sản phẩm,kích thước tổng,màu phiên bản,số thứ tự,mã vật liệu,mã linh kiện,tên vật liệu,quy cách,chất liệu,màu sắc,thuộc tính,số lượng
BOM-LGS334-3 列 3 tầng cơ bản 10 tủ ngăn kéo-57inch,LGS334BH02S,350Dx1468Wx681Hmm,màu đen,1,LG05254BH,X01,254 thanh đũa,Ø5x254mm,Q195,đen nhám,linh kiện,2
BOM-LGS334-3 列 3 tầng cơ bản 10 tủ ngăn kéo-57inch,LGS334BH02S,350Dx1468Wx681Hmm,màu đen,2,SLHGZZ002BH,BL,325mm Thanh ngăn kéo trái,325x25x23mm,PP&GF40,màu đen,linh kiện,10
BOM-LGS334-3 列 3 tầng cơ bản 10 tủ ngăn kéo-57inch,LGS334BH02S,350Dx1468Wx681Hmm,màu đen,3,SLHGZY002BH,BR,325mm Thanh ngăn kéo phải,325x25x23mm,PP&GF40,màu đen,linh kiện,10
BOM-LGS334-3 列 3 tầng cơ bản 10 tủ ngăn kéo-57inch,LGS334BH02S,350Dx1468Wx681Hmm,màu đen,4,ZJG150654BH,M,54 chân đế,70x15x15,Q195,đen nhám,linh kiện,2
BOM-LGS334-3 列 3 tầng cơ bản 10 tủ ngăn kéo-57inch,LGS334BH02S,350Dx1468Wx681Hmm,màu đen,5,LGS334XZQSLBH,L2,LGS333_334_433_434 thanh dọc giữa-trước,391x15x15mm,Q195,đen nhám,linh kiện,2
BOM-LGS334-3 列 3 tầng cơ bản 10 tủ ngăn kéo-57inch,LGS334BH02S,350Dx1468Wx681Hmm,màu đen,6,LGS334XZHSLBH,L1,LGS333_334_433_434 thanh dọc giữa-sau,391x15x15mm,Q195,đen nhám,linh kiện,2
BOM-LGS334-3 列 3 tầng cơ bản 10 tủ ngăn kéo-57inch,LGS334BH02S,350Dx1468Wx681Hmm,màu đen,7,LGS334SQYHLBH,T,LGS334-Thanh trên phải_tổ hợp,708x15x15mm,Q195,đen nhám,linh kiện,2
BOM-LGS334-3 列 3 tầng cơ bản 10 tủ ngăn kéo-57inch,LGS334BH02S,350Dx1468Wx681Hmm,màu đen,8,LGS334DB201BH,A,LGS334-Mặt bàn trên,734x350x12mm,PB,màu đen,linh kiện,2
BOM-LGS334-3 列 3 tầng cơ bản 10 tủ ngăn kéo-57inch,LGS334BH02S,350Dx1468Wx681Hmm,màu đen,9,LGS334XQZHLBH,G,LGS334_434_834-Thanh dưới trái-trước,760x15x15mm,Q195,đen nhám,linh kiện,1
BOM-LGS334-3 列 3 tầng cơ bản 10 tủ ngăn kéo-57inch,LGS334BH02S,350Dx1468Wx681Hmm,màu đen,10,LGS334XHZHLBH,F,LGS334_434_834-Thanh dưới trái-sau,760x15x15mm,Q195,đen nhám,linh kiện,1
BOM-LGS334-3 列 3 tầng cơ bản 10 tủ ngăn kéo-57inch,LGS334BH02S,350Dx1468Wx681Hmm,màu đen,11,LGS334XQYHLBH,K,LGS334_434_834-Thanh dưới phải-trước_tổ hợp,708x15x15mm,Q195,đen nhám,linh kiện,1
BOM-LGS334-3 列 3 tầng cơ bản 10 tủ ngăn kéo-57inch,LGS334BH02S,350Dx1468Wx681Hmm,màu đen,12,LGS334XHYHLBH,J,LGS334_434_834-Thanh dưới phải-sau_tổ hợp,708x15x15mm,Q195,đen nhám,linh kiện,1
BOM-LGS334-3 列 3 tầng cơ bản 10 tủ ngăn kéo-57inch,LGS334BH02S,350Dx1468Wx681Hmm,màu đen,13,LGS334YKBH,E,LGS334_434 khung bên phải,659x335x15mm,Q195,đen nhám,linh kiện,1
BOM-LGS334-3 列 3 tầng cơ bản 10 tủ ngăn kéo-57inch,LGS334BH02S,350Dx1468Wx681Hmm,màu đen,14,LGS334ZKBH,D,LGS334_434 khung bên trái,659x335x15mm,Q195,đen nhám,linh kiện,1
BOM-LGS334-3 列 3 tầng cơ bản 10 tủ ngăn kéo-57inch,LGS334BH02S,350Dx1468Wx681Hmm,màu đen,15,LGS334SZKBH,C,LGS334 khung đỡ-Chính giữa,335x178x47mm,Q195,đen nhám,linh kiện,1
BOM-LGS334-3 列 3 tầng cơ bản 10 tủ ngăn kéo-57inch,LGS334BH02S,350Dx1468Wx681Hmm,màu đen,16,LGS334SZKBH,I,LGS334 khung đỡ-Trái Phải,335x178x15mm,Q195,đen nhám,linh kiện,2
BOM-LGS334-3 列 3 tầng cơ bản 10 tủ ngăn kéo-57inch,LGS334BH02S,350Dx1468Wx681Hmm,màu đen,17,LGS334SQZHLBH,R,LGS334 Thanh trên trái,760x15x15mm,Q195,đen nhám,linh kiện,2
