tên sản phẩm,mã số sản phẩm,kích thước tổng,màu phiên bản,số thứ tự,mã vật liệu,mã linh kiện,tên vật liệu,quy cách,chất liệu,màu sắc,thuộc tính,số lượng
BOM-LGS233-3 列 3 层 9 抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,màu đen,1,LG05254BH,X01,254 thanh đũa,Ø5x254mm,Q195,đen nhám,linh kiện,2
BOM-LGS233-3 列 3 层 9 抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,màu đen,2,SLHGZZ002BH,BL,325mm Thanh ngăn kéo trái,325x25x23mm,PP&GF40,màu đen,linh kiện,9
BOM-LGS233-3 列 3 层 9 抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,màu đen,3,SLHGZY002BH,BR,325mm Thanh ngăn kéo phải,325x25x23mm,PP&GF40,màu đen,linh kiện,9
BOM-LGS233-3 列 3 层 9 抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,màu đen,4,ZJG150654BH,M,54 chân đế(chiều dài ren 23mm),80x15x15,Q195,đen nhám,linh kiện,4
BOM-LGS233-3 列 3 层 9 抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,màu đen,5,LG05595BH,X02,595 thanh đũa,Ø5x595mm,Q195,đen nhám,linh kiện,2
BOM-LGS233-3 列 3 层 9 抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,màu đen,6,LGS233ZYKBH,C,LGS133_233 khung giữa,584x335x15mm,Q195,đen nhám,linh kiện,2
BOM-LGS233-3 列 3 层 9 抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,màu đen,7,LGS233XQYHLBH,G,LGS233-Thanh dưới phải-trước,849x15x15mm,Q195,đen nhám,linh kiện,1
BOM-LGS233-3 列 3 层 9 抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,màu đen,8,LGS233XHYHLBH,F,LGS233-Thanh dưới phải-sau,849x15x15mm,Q195,đen nhám,linh kiện,1
BOM-LGS233-3 列 3 层 9 抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,màu đen,9,LGS233XQZHLBH,K,LGS233-Thanh dưới trái-trước_tổ hợp,889x15x15mm,Q195,đen nhám,linh kiện,1
BOM-LGS233-3 列 3 层 9 抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,màu đen,10,LGS233XHZHLBH,J,LGS233-Thanh dưới trái-sau_tổ hợp,889x15x15mm,Q195,đen nhám,linh kiện,1
BOM-LGS233-3 列 3 层 9 抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,màu đen,11,LGS233DB201BH,A,LGS233-Mặt bàn trên,869x350x12mm,PB,màu đen,linh kiện,2
BOM-LGS233-3 列 3 层 9 抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,màu đen,12,LGS233YKBH,E,LGS233 khung bên phải,659x335x15mm,Q195,đen nhám,linh kiện,1
BOM-LGS233-3 列 3 层 9 抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,màu đen,13,LGS233ZKBH,D,LGS233 khung bên trái,659x335x15mm,Q195,đen nhám,linh kiện,1
BOM-LGS233-3 列 3 层 9 抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,màu đen,14,LGS233SZQHLBH,S,LGS233 thanh trên,556x15x15mm,Q195,đen nhám,linh kiện,2
BOM-LGS233-3 列 3 层 9 抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,màu đen,15,BC548327171BH,Y09,LGS túi vải 55x32.5x17.3,550x325x173mm,MDF&vải không dệt,màu đen,linh kiện,1
BOM-LGS233-3 列 3 层 9 抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,màu đen,16,BC548327186BH,Y08,LGS túi vải 55x32.5x18.7,550x325x188mm,MDF&vải không dệt,màu đen,linh kiện,8
BOM-LGS233-3 列 3 层 9 抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,màu đen,17,BCDB53831725BH,Z09,LGS đáy túi vải 32.5x55,545x320x3mm,MDF&vải không dệt,màu đen,linh kiện,9
BOM-LGS233-3 列 3 层 9 抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,màu đen,18,LGS233ZFXBH,无,thùng đóng giữa,955×565×115mm,giấy carton,màu giấy,vật liệu đóng gói,1
BOM-LGS233-3 列 3 层 9 抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,màu đen,19,ZHJ5050100,无,giấy nẹp,50×50×100mm,giấy carton,màu giấy,vật liệu đóng gói,4
BOM-LGS233-3 列 3 层 9 抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,màu đen,20,SCPPHJ505030,无,góc nhựa PP đôi,50×50×30mm,PP,màu đen,vật liệu đóng gói,4
BOM-LGS233-3 列 3 层 9 抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,màu đen,21,LGS233PM001,无,mút xốp,"20kg,552×100×10mm",EPS mút xốp,màu trắng,vật liệu đóng gói,2
BOM-LGS233-3 列 3 层 9 抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,màu đen,22,LGS233ZK,无,giấy lót,sóng đơn 925×60mm,giấy carton sóng đơn,màu giấy,vật liệu đóng gói,1
BOM-LGS233-3 列 3 层 9 抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,màu đen,23,LGS233SMS,无,LGS233 sách hướng dẫn,A4,giấy couché,đen trắng,vật liệu đóng gói,1
BOM-LGS233-3 列 3 层 9 抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,màu đen,24,XHBBL010,无,nhãn STT BL,∅10mm,giấy decal,nền trắng chữ đen,vật liệu đóng gói,1
BOM-LGS233-3 列 3 层 9 抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,màu đen,25,XHBBR010,无,nhãn STT BR,∅10mm,giấy decal,nền trắng chữ đen,vật liệu đóng gói,1
BOM-LGS233-3 列 3 层 9 抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,màu đen,26,JGB120052,无,nhãn cảnh báo,120×52mm,giấy decal,theo mẫu,vật liệu đóng gói,1
BOM-LGS233-3 列 3 层 9 抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,màu đen,1,LNSLSD65254BZ,1,L vít lục giác có đầu chữ thập,S4,#10,mạ kẽm,Túi ngũ kim,1
BOM-LGS233-3 列 3 层 9 抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,màu đen,2,NLPLS6022BH,2,M6x22 ốc lục giác,M6x22mm,#10,màu đen,Túi ngũ kim,20+2
BOM-LGS233-3 列 3 层 9 抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,màu đen,3,NLPLS6010BH,3,M6x10 ốc lục giác,M6x10mm,#10,màu đen,Túi ngũ kim,10+2
BOM-LGS233-3 列 3 层 9 抽-68inch,LGS233BH02S,350Dx1738Wx681Hmm,màu đen,4,BCLS129228BH,4,tay nắm,129x22x8mm,PP&GF40,màu đen,Túi ngũ kim,9
