tên sản phẩm,mã số sản phẩm,kích thước tổng,màu phiên bản,số thứ tự,mã vật liệu,mã linh kiện,tên vật liệu,quy cách,chất liệu,màu sắc,thuộc tính,số lượng
BOM-LGS833-3 列 3 Kệ tầng mở có đèn và điện 6 tủ ngăn kéo-45inch,LGS833KD02S,300Dx1138Wx681Hmm,màu gỗ cổ,1,DD1050,R,1050-đèn LED,"DC12V, SMD5050, 1050mm",FPCB,đen bóng,linh kiện,1
BOM-LGS833-3 列 3 Kệ tầng mở có đèn và điện 6 tủ ngăn kéo-45inch,LGS833KD02S,300Dx1138Wx681Hmm,màu gỗ cổ,2,DD1050,R1,kẹp cố định đèn,theo thực tế,PP,màu tự nhiên,linh kiện,5
BOM-LGS833-3 列 3 Kệ tầng mở có đèn và điện 6 tủ ngăn kéo-45inch,LGS833KD02S,300Dx1138Wx681Hmm,màu gỗ cổ,3,LG05254BH,X01,254 thanh đũa,Ø5x254mm,Q195,đen nhám,linh kiện,2
BOM-LGS833-3 列 3 Kệ tầng mở có đèn và điện 6 tủ ngăn kéo-45inch,LGS833KD02S,300Dx1138Wx681Hmm,màu gỗ cổ,4,SLHGZZ001BH,BL,280mm Thanh ngăn kéo trái,280x25x23mm,PP&GF40,màu đen,linh kiện,6
BOM-LGS833-3 列 3 Kệ tầng mở có đèn và điện 6 tủ ngăn kéo-45inch,LGS833KD02S,300Dx1138Wx681Hmm,màu gỗ cổ,5,SLHGZY001BH,BR,280mm Thanh ngăn kéo phải,280x25x23mm,PP&GF40,màu đen,linh kiện,6
BOM-LGS833-3 列 3 Kệ tầng mở có đèn và điện 6 tủ ngăn kéo-45inch,LGS833KD02S,300Dx1138Wx681Hmm,màu gỗ cổ,6,ZJG150654BH,M,54 chân đế,70x15x15,Q195,đen nhám,linh kiện,2
BOM-LGS833-3 列 3 Kệ tầng mở có đèn và điện 6 tủ ngăn kéo-45inch,LGS833KD02S,300Dx1138Wx681Hmm,màu gỗ cổ,7,LGS333XQHLBH,G,LGS333_433_733_833 Thanh dưới trước,1098x15x15mm,Q195,đen nhám,linh kiện,1
BOM-LGS833-3 列 3 Kệ tầng mở có đèn và điện 6 tủ ngăn kéo-45inch,LGS833KD02S,300Dx1138Wx681Hmm,màu gỗ cổ,8,LGS333XHHLBH,F,LGS333_433_733_833 Thanh dưới sau,1098x15x15mm,Q195,đen nhám,linh kiện,1
BOM-LGS833-3 列 3 Kệ tầng mở có đèn và điện 6 tủ ngăn kéo-45inch,LGS833KD02S,300Dx1138Wx681Hmm,màu gỗ cổ,9,LGS833CB101KD,A2,LGS833-tấm tầng,1098x300x12mm,PB,màu gỗ cổ,linh kiện,1
BOM-LGS833-3 列 3 Kệ tầng mở có đèn và điện 6 tủ ngăn kéo-45inch,LGS833KD02S,300Dx1138Wx681Hmm,màu gỗ cổ,10,LGS833DB101KD,A1,LGS833-Mặt bàn trên,1138x300x12mm,PB,màu gỗ cổ,linh kiện,1
BOM-LGS833-3 列 3 Kệ tầng mở có đèn và điện 6 tủ ngăn kéo-45inch,LGS833KD02S,300Dx1138Wx681Hmm,màu gỗ cổ,11,LGS833ZYKBH,C,LGS833 khung giữa,391x290x15mm,Q195,đen nhám,linh kiện,2
BOM-LGS833-3 列 3 Kệ tầng mở có đèn và điện 6 tủ ngăn kéo-45inch,LGS833KD02S,300Dx1138Wx681Hmm,màu gỗ cổ,12,LGS833YKBH,E,LGS833 khung bên phải,659x290x15mm,Q195,đen nhám,linh kiện,1
BOM-LGS833-3 列 3 Kệ tầng mở có đèn và điện 6 tủ ngăn kéo-45inch,LGS833KD02S,300Dx1138Wx681Hmm,màu gỗ cổ,13,LGS833ZKBH,D,LGS833 khung bên trái,659x290x15mm,Q195,đen nhám,linh kiện,1
BOM-LGS833-3 列 3 Kệ tầng mở có đèn và điện 6 tủ ngăn kéo-45inch,LGS833KD02S,300Dx1138Wx681Hmm,màu gỗ cổ,14,LGS833SQHLBH,J,LGS833 thanh trên,1098x15x15mm,Q195,đen nhám,linh kiện,2
BOM-LGS833-3 列 3 Kệ tầng mở có đèn và điện 6 tủ ngăn kéo-45inch,LGS833KD02S,300Dx1138Wx681Hmm,màu gỗ cổ,15,BC348282186KD,Y05,LGS túi vải 35x28x18.7,350x280x187mm,MDF&vải không dệt,màu gỗ cổ,linh kiện,6
BOM-LGS833-3 列 3 Kệ tầng mở có đèn và điện 6 tủ ngăn kéo-45inch,LGS833KD02S,300Dx1138Wx681Hmm,màu gỗ cổ,16,BCDB33827223BH,Z05,LGS đáy túi vải 28x35,345x275x3mm,MDF&vải không dệt,màu đen,linh kiện,6
BOM-LGS833-3 列 3 Kệ tầng mở có đèn và điện 6 tủ ngăn kéo-45inch,LGS833KD02S,300Dx1138Wx681Hmm,màu gỗ cổ,17,PC221BH,S,ổ cắm điện,tiêu chuẩn Anh-2AC+1USB+1TypeC ổ cắm,ABS,màu đen,linh kiện,1
BOM-LGS833-3 列 3 Kệ tầng mở có đèn và điện 6 tủ ngăn kéo-45inch,LGS833KD02S,300Dx1138Wx681Hmm,màu gỗ cổ,18,LGS833PKXKD,无,thùng carton,1185×330×110mm,giấy carton,màu giấy,vật liệu đóng gói,1
BOM-LGS833-3 列 3 Kệ tầng mở có đèn và điện 6 tủ ngăn kéo-45inch,LGS833KD02S,300Dx1138Wx681Hmm,màu gỗ cổ,19,ZHJ5050100,无,giấy nẹp,50×50×100mm,giấy carton,màu giấy,vật liệu đóng gói,4
BOM-LGS833-3 列 3 Kệ tầng mở có đèn và điện 6 tủ ngăn kéo-45inch,LGS833KD02S,300Dx1138Wx681Hmm,màu gỗ cổ,20,PPHJ1285,无,PP góc nhựa,"đường kính trong cao 12mm,độ dày cạnh 8.5mm",PP,màu đen,vật liệu đóng gói,8
BOM-LGS833-3 列 3 Kệ tầng mở có đèn và điện 6 tủ ngăn kéo-45inch,LGS833KD02S,300Dx1138Wx681Hmm,màu gỗ cổ,21,LGS833PM001,无,mút xốp,"20kg,320×100×8mm",EPS mút xốp,màu trắng,vật liệu đóng gói,2
BOM-LGS833-3 列 3 Kệ tầng mở có đèn và điện 6 tủ ngăn kéo-45inch,LGS833KD02S,300Dx1138Wx681Hmm,màu gỗ cổ,22,LGS833PM002,无,mút xốp,"16kg,300×35×20mm",EPS mút xốp,màu trắng,vật liệu đóng gói,1
BOM-LGS833-3 列 3 Kệ tầng mở có đèn và điện 6 tủ ngăn kéo-45inch,LGS833KD02S,300Dx1138Wx681Hmm,màu gỗ cổ,23,LGS833PM003,无,mút xốp,"20kg,90×50×7mm",EPS mút xốp,màu trắng,vật liệu đóng gói,4
BOM-LGS833-3 列 3 Kệ tầng mở có đèn và điện 6 tủ ngăn kéo-45inch,LGS833KD02S,300Dx1138Wx681Hmm,màu gỗ cổ,24,LGS833ZK,无,giấy lót,sóng đơn 1100×60mm,giấy carton sóng đơn,màu giấy,vật liệu đóng gói,2
BOM-LGS833-3 列 3 Kệ tầng mở có đèn và điện 6 tủ ngăn kéo-45inch,LGS833KD02S,300Dx1138Wx681Hmm,màu gỗ cổ,25,LGS833SMS,无,LGS833 sách hướng dẫn,A4,giấy couché,đen trắng,vật liệu đóng gói,1
BOM-LGS833-3 列 3 Kệ tầng mở có đèn và điện 6 tủ ngăn kéo-45inch,LGS833KD02S,300Dx1138Wx681Hmm,màu gỗ cổ,26,XHBBL010,无,nhãn STT BL,∅10mm,giấy decal,nền trắng chữ đen,vật liệu đóng gói,1
BOM-LGS833-3 列 3 Kệ tầng mở có đèn và điện 6 tủ ngăn kéo-45inch,LGS833KD02S,300Dx1138Wx681Hmm,màu gỗ cổ,27,XHBBR010,无,nhãn STT BR,∅10mm,giấy decal,nền trắng chữ đen,vật liệu đóng gói,1
BOM-LGS833-3 列 3 Kệ tầng mở có đèn và điện 6 tủ ngăn kéo-45inch,LGS833KD02S,300Dx1138Wx681Hmm,màu gỗ cổ,28,JGB120052,无,nhãn cảnh báo,120×52mm,giấy decal,theo mẫu,vật liệu đóng gói,1
