tên sản phẩm,mã số sản phẩm,kích thước tổng,màu phiên bản,số thứ tự,mã vật liệu,mã linh kiện,tên vật liệu,quy cách,chất liệu,màu sắc,thuộc tính,số lượng
BOM-màu gỗ cổ 1 抽玄关桌,LGS101K101S,300Dx396Wx580Hmm,màu gỗ cổ,0,LGS101WJBBH,无,LGS101Túi ngũ kim,Xem chi tiết,无,màu đen,linh kiện,1
BOM-màu gỗ cổ 1 抽玄关桌,LGS101K101S,300Dx396Wx580Hmm,màu trắng,0,LGS101WJBWH,无,LGS101Túi ngũ kim,Xem chi tiết,无,màu đen,linh kiện,1
BOM-màu gỗ cổ 1 抽玄关桌,LGS101K101S,300Dx396Wx580Hmm,màu đen,0,LGS101WJBBH,无,LGS101Túi ngũ kim,Xem chi tiết,无,màu đen,linh kiện,1
BOM-màu gỗ cổ 1 抽玄关桌,LGS101K101S,300Dx396Wx580Hmm,màu gỗ cổ,1,LGS101CB101KD,A005,LGS101-S-底部板,356x290x12mm,PB,màu gỗ cổ,linh kiện,1
BOM-màu gỗ cổ 1 抽玄关桌,LGS101K101S,300Dx396Wx580Hmm,màu gỗ cổ,2,LGS101DB101KD,A007,LGS101-S-顶面面板,396x300x12mm,PB,màu gỗ cổ,linh kiện,1
BOM-màu gỗ cổ 1 抽玄关桌,LGS101K101S,300Dx396Wx580Hmm,màu gỗ cổ,3,LGS101ZCKBH,C003,LGS101-S-Khung bên trái,579x290x15mm,Q195,đen nhám,linh kiện,1
BOM-màu gỗ cổ 1 抽玄关桌,LGS101K101S,300Dx396Wx580Hmm,màu gỗ cổ,4,LGS101YCKBH,C004,LGS101-S-Khung bên phải,579x290x15mm,Q195,đen nhám,linh kiện,1
BOM-màu gỗ cổ 1 抽玄关桌,LGS101K101S,300Dx396Wx580Hmm,màu gỗ cổ,5,LGS101HLBH,E001,LGS101-S-thanh trên,356x15x15mm,Q195,đen nhám,linh kiện,2
BOM-màu gỗ cổ 1 抽玄关桌,LGS101K101S,300Dx396Wx580Hmm,màu gỗ cổ,6,LG05473BH,X04,十字thanh đũa,Ø5x495mm,Q195,đen nhám,linh kiện,1
BOM-màu gỗ cổ 1 抽玄关桌,LGS101K101S,300Dx396Wx580Hmm,màu gỗ cổ,7,BC350282150KD,Y18,LGS túi vải 35x28x15,350x280x150mm,MDF&vải không dệt,màu gỗ cổ,linh kiện,1
BOM-màu gỗ cổ 1 抽玄关桌,LGS101K101S,300Dx396Wx580Hmm,màu gỗ cổ,8,BCDB34027223KD,Z05,LGS đáy túi vải 28x35,340x270x3mm,MDF&vải không dệt,màu đen,linh kiện,1
BOM-màu gỗ cổ 1 抽玄关桌,LGS101K101S,300Dx396Wx580Hmm,màu gỗ cổ,9,SLHGZZ001BH,BL,280mm Thanh ngăn kéo trái,280x25x20mm,PP&GF40,màu đen,linh kiện,1
BOM-màu gỗ cổ 1 抽玄关桌,LGS101K101S,300Dx396Wx580Hmm,màu gỗ cổ,10,SLHGZY001BH,BR,280mm Thanh ngăn kéo phải,280x25x20mm,PP&GF40,màu đen,linh kiện,1
BOM-màu trắng 1 抽玄关桌,LGS101W101S,300Dx396Wx580Hmm,màu trắng,1,LGS101CB101WH,A005,LGS101-S-底部板,356x290x12mm,PB,màu trắng,linh kiện,1
BOM-màu trắng 1 抽玄关桌,LGS101W101S,300Dx396Wx580Hmm,màu trắng,2,LGS101DB101WH,A007,LGS101-S-顶面面板,396x300x12mm,PB,màu trắng,linh kiện,1
BOM-màu trắng 1 抽玄关桌,LGS101W101S,300Dx396Wx580Hmm,màu trắng,3,LGS101ZCKWH,C003,LGS101-S-Khung bên trái,579x290x15mm,Q195,trắng nhám,linh kiện,1
