tên sản phẩm,mã số sản phẩm,kích thước tổng,màu phiên bản,số thứ tự,mã vật liệu,mã linh kiện,tên vật liệu,quy cách,chất liệu,màu sắc,thuộc tính,số lượng
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-63inch,LGS131K101S,350Dx1570Wx598Hmm,màu gỗ cổ,0,LGS131WJBBH,无,LGS131Túi ngũ kim,Xem chi tiết,无,màu đen,linh kiện,1
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-63inch,LGS131K101S,350Dx1570Wx598Hmm,màu trắng,0,LGS131WJBWH,无,LGS131Túi ngũ kim,Xem chi tiết,无,màu đen,linh kiện,1
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-63inch,LGS131K101S,350Dx1570Wx598Hmm,màu đen,0,LGS131WJBBH,无,LGS131Túi ngũ kim,Xem chi tiết,无,màu đen,linh kiện,1
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-63inch,LGS131K101S,350Dx1570Wx598Hmm,màu gỗ cổ,1,PC221BH,S,ổ cắm điện,tiêu chuẩn Anh-2AC+1USB+1 Type C ổ cắm,ABS,màu đen,linh kiện,1
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-63inch,LGS131K101S,350Dx1570Wx598Hmm,màu gỗ cổ,2,LGS131DB102KD,A1,LGS131-tấm trên phải,785x350x12mm,PB,màu gỗ cổ,linh kiện,1
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-63inch,LGS131K101S,350Dx1570Wx598Hmm,màu gỗ cổ,3,DD1500,R,1500-đèn LED,DC12V，SMD5050，1500mm,FPCB,đen bóng,linh kiện,1
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-63inch,LGS131K101S,350Dx1570Wx598Hmm,màu gỗ cổ,4,DD1500,R1,kẹp cố định đèn,theo thực tế,PP,màu tự nhiên,linh kiện,5
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-63inch,LGS131K101S,350Dx1570Wx598Hmm,màu gỗ cổ,5,LGS131SHLBH,F,LGS231_131-Thanh trên trước,556x15x15mm,Q195,đen nhám,linh kiện,1
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-63inch,LGS131K101S,350Dx1570Wx598Hmm,màu gỗ cổ,6,LGS131ZYKBH,D,LGS421_420-S_231_131-Khung bên trái phải,576x335x15mm,Q195,đen nhám,linh kiện,2
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-63inch,LGS131K101S,350Dx1570Wx598Hmm,màu gỗ cổ,7,LGS131YZKBHGK,C2,LGS421_420-S_231_131-Khung giữa phải,576x335x15mm,Q195,đen nhám,linh kiện,1
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-63inch,LGS131K101S,350Dx1570Wx598Hmm,màu gỗ cổ,8,SLHGZY002BH,BR,325mm Thanh ngăn kéo phải,325x25x20mm,PP&GF40,màu đen,linh kiện,1
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-63inch,LGS131K101S,350Dx1570Wx598Hmm,màu gỗ cổ,9,BCDB55031723BH,Z09,LGS đáy túi vải 32.5X55,545x320x3mm,MDF&vải không dệt,màu đen,linh kiện,1
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-63inch,LGS131K101S,350Dx1570Wx598Hmm,màu gỗ cổ,10,BC5503327188KD,Y08,LGS túi vải 55x32.5x18.7,550x325x187mm,MDF&vải không dệt,màu gỗ cổ,linh kiện,1
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-63inch,LGS131K101S,350Dx1570Wx598Hmm,màu gỗ cổ,11,LGS131XHLBH,E,LGS231_131-thanh dưới,556x15x15mm,Q195,đen nhám,linh kiện,2
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-63inch,LGS131K101S,350Dx1570Wx598Hmm,màu gỗ cổ,12,LGS131ZZKBHGK,C1,LGS421_420-S_231_131-Khung giữa trái,576x335x15mm,Q195,đen nhám,linh kiện,1
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-63inch,LGS131K101S,350Dx1570Wx598Hmm,màu gỗ cổ,13,LGS131CBZYKD,A3,LGS131-tấm tầng,472x335x12mm,PB,màu gỗ cổ,linh kiện,2
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-63inch,LGS131K101S,350Dx1570Wx598Hmm,màu gỗ cổ,14,SLHGZZ002BH,BL,325mm Thanh ngăn kéo trái,325x25x20mm,PP&GF40,màu đen,linh kiện,1
BOM-màu gỗ cổ 3 列 2 层 1 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-63inch,LGS131K101S,350Dx1570Wx598Hmm,màu gỗ cổ,15,LGS131CBZKD,A4,LGS231_131-Tấm tầng giữa,556x335x12mm,PB,màu gỗ cổ,linh kiện,1
