tên sản phẩm,mã số sản phẩm,kích thước tổng,màu phiên bản,số thứ tự,mã vật liệu,mã linh kiện,tên vật liệu,quy cách,chất liệu,màu sắc,thuộc tính,số lượng
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,0,LGS421WJBBH,无,LGS421Túi ngũ kim,Xem chi tiết,无,màu đen,linh kiện,1
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu đen,0,LGS421WJBBH,无,LGS421Túi ngũ kim,Xem chi tiết,无,màu đen,linh kiện,1
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,1,LGS421DB101KD,A2,LGS421-S_ Tấm trên trái,895x350x12mm,PB,màu gỗ cổ,linh kiện,1
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,2,LGS421SHLBH,F1,LGS421-S-Thanh trên sau,947x15x15mm,Q195,đen nhám,linh kiện,1
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,3,LGS421SHLBH,F2,LGS421-S-Thanh trên trước,947x15x15mm,Q195,đen nhám,linh kiện,1
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,4,PC221BH,S,ổ cắm điện,tiêu chuẩn Anh-2AC+1USB+1 Type C ổ cắm,ABS,màu đen,linh kiện,1
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,5,LGS421DB102KD,A1,LGS421-S_ Tấm trên phải,895x350x12mm,PB,màu gỗ cổ,linh kiện,1
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,6,DD1700,R,1700-đèn LED,DC12V，SMD5050，1700mm,FPCB,đen bóng,linh kiện,1
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,7,DD1700,R1,kẹp cố định đèn,theo thực tế,PP,màu tự nhiên,linh kiện,5
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,8,LGS421YZKBH,C2,LGS421_420-S_231_131-Khung giữa phải,576x335x15mm,Q195,đen nhám,linh kiện,1
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,9,LGS421CBZYKD,A4,LGS421_420-S-Tấm tầng bên,386.5x335x12mm,PB,màu gỗ cổ,linh kiện,2
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,10,BCDB46031723BH,Z08,LGS đáy túi vải 32.5X46,455x320x3mm,MDF&vải không dệt,màu đen,linh kiện,2
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,11,BC4603327188KD,Y06,LGS túi vải 46x32.5x18.7,460x325x187mm,MDF&vải không dệt,màu gỗ cổ,linh kiện,2
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,12,LGS421ZLKBH,G,LGS421_420-S-khung đỡ,335x198x15mm,Q195,đen nhám,linh kiện,1
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,13,SLHGZZ002BH,BL,325mm Thanh ngăn kéo trái,325x25x20mm,PP&GF40,màu đen,linh kiện,2
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,14,SLHGZY002BH,BR,325mm Thanh ngăn kéo phải,325x25x20mm,PP&GF40,màu đen,linh kiện,2
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,15,LGS421XHLBH,E,LGS421-S-thanh dưới,947x15x15mm,Q195,đen nhám,linh kiện,2
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,16,LGS421ZZKBH,C1,LGS421_420-S_231_131-Khung giữa trái,576x335x15mm,Q195,đen nhám,linh kiện,1
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,17,LGS421CBZKD,A3,LGS421-S_ Tấm tầng giữa,947x335x12mm,PB,màu gỗ cổ,linh kiện,1
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,18,LGS421ZYKBH,D,LGS421_420-S_231_131-Khung bên trái phải,576x335x15mm,Q195,đen nhám,linh kiện,2
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,19,LG05254BH,X01,254 thanh đũa,Ø5x254mm,Q195,đen nhám,linh kiện,2
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,20,LGS421ZFXKD,无,thùng đóng giữa,1030×380×135mm,giấy carton,màu giấy,vật liệu đóng gói,1
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,21,ZHJ5050115,无,giấy nẹp,50×50×115mm,giấy carton,màu giấy,vật liệu đóng gói,4
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,22,LGS421ZK,无,giấy lót,sóng đơn 1000×60,giấy carton sóng đơn,màu giấy,vật liệu đóng gói,1
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,23,LGS421PM001,无,mút xốp,"16Kg,367×115×10mm",EPS mút xốp,màu trắng,vật liệu đóng gói,2
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,24,LGS421PM002,无,mút xốp,"16Kg,350×35×30mm",EPS mút xốp,màu trắng,vật liệu đóng gói,2
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,25,LGS421PM003,无,mút xốp,"16Kg,360×180×17mm",EPS mút xốp,màu trắng,vật liệu đóng gói,1
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,26,PPHJ1285,无,PP góc nhựa,"đường kính trong cao 12mm,độ dày cạnh 8.5mm",PP,màu đen,vật liệu đóng gói,12
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,27,SCPPHJ505030,无,góc nhựa PP đôi,50×50×30mm,PP,màu đen,vật liệu đóng gói,4
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,28,XHBBL010,无,nhãn STT BL,∅10mm,giấy decal,nền trắng chữ đen,vật liệu đóng gói,1
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,29,XHBBR010,无,nhãn STT BR,∅10mm,giấy decal,nền trắng chữ đen,vật liệu đóng gói,1
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,30,JGB120052,无,nhãn cảnh báo,120×52mm,giấy decal,theo mẫu,vật liệu đóng gói,1
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,31,LGS421SMS,无,LGS421 sách hướng dẫn,A4,giấy couché,đen trắng,vật liệu đóng gói,1
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,1,TZJD629825BH,1,10-chân đế,M6x10mm,PP&thép mạ kẽm,màu đen,Túi ngũ kim,8
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,2,BCLS129228BH,2,tay nắm,129x22x8mm,PP&GF40,màu đen,Túi ngũ kim,2
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,3,NLPLS6022BZ,3,M6X22 ốc lục giác,M6x22mm,#10,màu đen,Túi ngũ kim,19+2
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,4,GSSNZGLS5040BZ,4,ST5X38 ốc tự khoan lục giác,Ø5x38mm,#10,màu đen,Túi ngũ kim,12+2
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,5,NLPLS6010BZ,5,M6X10 ốc lục giác,M6x10,#10,màu đen,Túi ngũ kim,8+2
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,6,ZGLS4010CZ,6,ST4X10 ốc tự cắt đầu tròn chữ thập,ST4x10mm,#10,màu đen,Túi ngũ kim,4+1
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,7,PTZGLS6308BZ,7,ST3.5X12 ốc tự cắt đầu bằng chữ thập,ST3.5x12mm,#10,màu đen,Túi ngũ kim,2
BOM-màu gỗ cổ 4 列 2 层 2 Tủ đựng TV kiểu ngăn kéo mở có đèn và điện-70inch,LGS421K101S,350Dx1790Wx598Hmm,màu gỗ cổ,8,SLPZLS6030WH,8,Ốc tắc kê nhựa,6x30mm,PP,màu trắng,Túi ngũ kim,2
